application_id,company_name,industry,loan_purpose,annual_revenue,loan_amount_requested,loan_to_revenue_ratio,years_in_business,num_employees,credit_score,debt_to_income_ratio,monthly_cash_flow,existing_loans,late_payments_12m,avg_daily_transactions,transaction_volatility,max_overdraft_30d,risk_tier,default_probability,default,application_date
APP-000021,Adams-Diaz,Healthcare,Business Expansion,846049.13,30633.2,0.0362,7.3,114,687,0.5915,14687.12,1,1,44.33,0.4847,0.0,BBB,0.6565,0,2025-05-05
APP-000022,Parker-Rogers,Retail,Equipment Purchase,84881.0,81286.41,0.9577,6.4,9,713,0.2152,473.69,2,4,25.33,0.1585,0.0,AA,0.8376,1,2026-02-27
APP-000023,"Arias, Chandler and Rubio",Retail,Business Expansion,2459132.61,55698.4,0.0226,7.2,32,678,0.1687,40823.44,2,0,8.78,0.708,1651.44,A,0.3987,1,2025-09-26
APP-000024,"Higgins, Pena and Norton",Manufacturing,Real Estate,508543.14,252434.29,0.4964,12.9,121,717,0.1688,9756.89,0,0,123.48,0.7653,0.0,AA,0.2576,0,2025-05-18
APP-000025,"Park, Wyatt and Jones",Real Estate,Working Capital,24204.68,75026.05,3.0997,11.9,1,667,0.1248,429.15,1,4,28.86,0.3928,0.0,A,0.9682,1,2025-10-01
APP-000026,"Bender, Garcia and Holt",Real Estate,Working Capital,4680334.98,90951.76,0.0194,5.7,1,542,0.4365,23899.0,8,1,11.03,0.7678,0.0,B,0.9712,1,2025-04-30
APP-000027,Rojas-Terry,Manufacturing,Research & Development,3689102.01,71218.79,0.0193,15.7,25,613,0.128,49860.55,2,0,63.64,0.6286,0.0,BBB,0.5271,0,2025-04-24
APP-000028,Conrad-Valdez,Healthcare,Debt Consolidation,185850.78,175661.37,0.9452,6.3,9,541,0.5121,2701.3,2,2,76.28,0.4214,0.0,B,0.989,1,2025-05-18
APP-000029,"Johnson, Mclaughlin and Bradley",Finance,Debt Consolidation,4178050.76,14620.51,0.0035,0.8,61,670,0.2221,50412.47,1,0,15.02,0.1286,163.27,A,0.2871,1,2025-12-04
APP-000030,"Ray, Hoffman and Andersen",Finance,Real Estate,25130.12,82534.35,3.2843,7.0,72,684,0.0337,418.11,0,0,10.8,0.3593,0.0,A,0.419,0,2025-09-26
APP-000031,Barnes Ltd,Manufacturing,Research & Development,126367.76,321053.28,2.5406,0.0,197,748,0.044,1037.21,1,0,1.72,0.3255,198.37,AA,0.4726,1,2025-04-21
APP-000032,Brown Ltd,Agriculture,Working Capital,684501.06,16449.88,0.024,12.6,10,764,0.3549,4307.57,1,1,97.71,0.3493,0.0,AA,0.3637,0,2025-04-23
APP-000033,"Padilla, Morris and Thompson",Real Estate,Business Expansion,214733.78,16383.24,0.0763,6.8,1,643,0.2191,4410.56,0,0,39.83,0.7786,0.0,BBB,0.5192,0,2025-12-12
APP-000034,Richardson Inc,Technology,Equipment Purchase,103984.42,135271.65,1.3009,5.3,8,722,0.5051,1170.58,1,0,7.37,0.5274,435.23,A,0.5127,1,2025-09-15
APP-000035,Diaz-Jacobs,Manufacturing,Business Expansion,115820813.9,25201.59,0.0002,0.0,105,668,0.1423,1632376.12,1,0,43.45,0.7507,0.0,A,0.5481,0,2025-12-21
APP-000036,Reynolds Ltd,Media,Research & Development,929397.45,71011.29,0.0764,5.0,9,686,0.2504,6416.96,3,1,13.03,0.6716,0.0,A,0.4943,1,2025-10-29
APP-000037,"Stewart, Shields and Boyd",Retail,Research & Development,10492.5,205799.46,19.614,6.2,28,681,0.5405,64.16,2,0,43.42,0.6558,0.0,A,0.9286,1,2025-07-27
APP-000038,Fisher Inc,Energy,Research & Development,636495.43,109431.24,0.1719,9.2,95,643,0.0831,3825.67,1,0,12.06,0.6581,130.2,BBB,0.3814,0,2025-08-17
APP-000039,Reed PLC,Finance,Equipment Purchase,2518595.19,27739.94,0.011,14.8,1,713,0.6661,29887.57,1,1,89.66,0.528,1028.35,BB,0.7558,0,2026-01-27
APP-000040,Turner-Mason,Retail,Research & Development,15624132.58,450507.53,0.0288,11.0,26,697,0.1869,306120.64,1,2,22.2,0.7446,0.0,A,0.5981,1,2025-06-25
APP-000041,Le-Mora,Agriculture,Equipment Purchase,14988.98,1842.53,0.1229,15.6,2,667,0.148,246.69,1,1,5.5,0.2235,0.0,A,0.3391,0,2025-06-13
APP-000042,Moore LLC,Energy,Debt Consolidation,278766.82,129962.86,0.4662,11.5,13,827,0.5618,1558.07,3,1,6.64,0.7286,105.79,BBB,0.7016,1,2025-09-16
APP-000043,Preston-Huffman,Real Estate,Working Capital,75515891.79,2670.22,0.0,2.5,31,791,0.01,1505428.76,1,1,15.57,0.1178,629.34,AAA,0.143,0,2026-01-28
APP-000044,Gonzalez-George,Agriculture,Real Estate,1873547.27,42453.98,0.0227,2.4,58,638,0.3762,33730.72,2,0,31.32,0.7274,44.69,BBB,0.6645,1,2026-02-21
APP-000045,Ryan-Christensen,Technology,Business Expansion,15684.71,148600.23,9.4742,16.8,130,580,0.2858,179.36,2,0,2.29,0.7079,0.0,BB,0.9791,1,2026-01-20
APP-000046,"Serrano, Young and Neal",Finance,Research & Development,226063.19,45434.41,0.201,14.7,2,850,0.3481,1967.91,0,1,22.22,0.5036,403.92,AA,0.4339,0,2025-09-04
APP-000047,Jones-Dawson,Media,Business Expansion,173113.82,8783.54,0.0507,10.6,11,809,0.7299,2461.54,1,0,24.5,0.349,0.0,BB,0.4466,1,2025-09-23
APP-000048,Taylor Group,Energy,Debt Consolidation,66250.76,6131.72,0.0926,21.2,934,719,0.2389,645.11,1,0,18.25,0.6097,0.0,AA,0.2144,0,2025-08-12
APP-000049,Collins-Knox,Agriculture,Equipment Purchase,19615.89,5679.75,0.2895,6.0,2,719,0.2854,258.9,5,0,16.02,0.4426,2197.78,AA,0.3204,0,2025-06-29
APP-000050,"Henry, Fitzgerald and Schwartz",Technology,Research & Development,2273814.71,166416.85,0.0732,8.7,9,715,0.2348,40887.56,0,1,48.74,0.1844,595.84,AA,0.2452,0,2026-02-09
APP-000051,"Larsen, Huynh and Anderson",Agriculture,Equipment Purchase,262484.02,6448.87,0.0246,8.7,2,713,0.0281,1200.43,1,2,36.07,0.6591,0.0,AA,0.4361,1,2025-05-15
APP-000052,"Dalton, King and Garcia",Real Estate,Business Expansion,157223.42,4281.68,0.0272,15.0,10,850,0.3957,1584.35,1,0,15.15,0.1295,2199.99,AA,0.2551,0,2025-11-09
APP-000053,Davis-Fuller,Energy,Working Capital,9830506.19,22118.17,0.0022,3.0,25,758,0.1077,140533.11,1,0,32.87,0.2543,756.12,AAA,0.1064,0,2025-08-19
APP-000054,Ortiz Group,Technology,Research & Development,7579884.32,20838.76,0.0027,5.1,204,613,0.416,43140.51,2,4,121.01,0.4856,262.51,BBB,0.9823,1,2025-11-25
APP-000055,Smith-Zhang,Agriculture,Working Capital,2592677.47,83757.58,0.0323,3.2,1,612,0.313,36401.53,2,1,8.41,0.715,0.0,BBB,0.8509,1,2025-07-23
APP-000056,"Walker, Crawford and Dennis",Healthcare,Research & Development,2282916.53,123111.18,0.0539,10.5,15,765,0.5196,22262.96,1,2,23.26,0.1045,479.76,A,0.5963,0,2025-11-07
APP-000057,"Simpson, Flynn and Gray",Agriculture,Debt Consolidation,29152.26,32791.69,1.1248,11.7,17,731,0.5451,428.84,1,2,26.55,0.3107,0.0,A,0.7869,1,2025-12-28
APP-000058,Baker-Calderon,Finance,Equipment Purchase,11849.99,105431.61,8.8972,12.8,16,641,0.3404,201.53,2,1,2.62,0.416,791.91,BBB,0.9595,1,2026-01-16
APP-000059,Mitchell LLC,Agriculture,Debt Consolidation,4171166.87,12026.56,0.0029,14.6,77,662,0.0554,33366.18,0,0,16.34,0.5562,0.0,A,0.2308,0,2026-04-08
APP-000060,Elliott-Coleman,Media,Equipment Purchase,1215910.36,117191.29,0.0964,7.9,4,701,0.1875,5725.44,3,0,27.75,0.1876,0.0,AA,0.1146,0,2025-08-01
APP-000061,Galloway Ltd,Technology,Business Expansion,408270.04,266632.97,0.6531,0.8,10,690,0.2141,5783.97,1,2,1.78,0.4364,138.57,A,0.7338,0,2025-10-05
APP-000062,Mullins Ltd,Manufacturing,Working Capital,439237.22,63353.81,0.1442,2.2,4,800,0.5047,5984.91,2,0,15.16,0.1732,0.0,A,0.2834,0,2026-03-10
APP-000063,Allen Group,Retail,Debt Consolidation,498451.09,306666.15,0.6152,4.8,144,735,0.3874,5834.52,3,0,24.47,0.273,1027.02,AA,0.3738,1,2026-02-27
APP-000064,Ward and Sons,Healthcare,Research & Development,1258801.93,185347.67,0.1472,5.1,21,678,0.6808,9431.42,1,0,22.65,0.2804,0.0,BB,0.5185,0,2025-08-03
APP-000065,Johnson Ltd,Healthcare,Debt Consolidation,2858358.79,287980.33,0.1008,12.4,17,530,0.1271,53519.11,2,2,119.2,0.5361,0.0,B,0.9636,1,2026-02-03
APP-000066,Simpson Inc,Finance,Research & Development,987815.3,34340.42,0.0348,4.6,1,705,0.1815,13878.0,0,0,25.41,0.7786,534.63,AA,0.2385,0,2025-08-08
APP-000067,"Parker, Silva and Mitchell",Agriculture,Working Capital,173615.37,87663.49,0.5049,9.7,1,676,0.6202,2509.16,1,0,13.09,0.1257,0.0,BBB,0.4583,0,2025-11-24
APP-000068,Martin-Fernandez,Agriculture,Debt Consolidation,5020391.97,44599.38,0.0089,7.6,21,709,0.4901,99287.09,0,0,10.1,0.4165,0.0,A,0.3027,0,2025-09-04
APP-000069,Brandt and Sons,Retail,Debt Consolidation,136280.83,777.14,0.0057,8.0,5,691,0.2446,635.92,1,0,30.07,0.5714,0.0,A,0.2379,1,2025-04-20
APP-000070,Bryant Group,Retail,Research & Development,127066.02,1208766.41,9.5129,17.6,27,664,0.2991,593.79,3,1,57.44,0.5559,536.25,A,0.9416,0,2025-10-31
APP-000071,"Owens, Steele and King",Energy,Research & Development,3302813.19,254264.6,0.077,6.7,96,707,0.5078,55723.15,3,1,35.51,0.3272,0.0,A,0.4817,1,2025-05-11
APP-000072,"Wright, Costa and Miller",Real Estate,Real Estate,75332.96,272317.96,3.6149,15.8,1,555,0.1243,1397.85,2,0,10.15,0.3661,0.0,BB,0.9347,1,2025-07-18
APP-000073,Hernandez Group,Transportation,Business Expansion,46605914.74,91289.14,0.002,11.6,15,734,0.2796,272971.49,1,0,34.92,0.3151,0.0,AA,0.1619,0,2025-12-03
APP-000074,"Evans, Roman and Jensen",Retail,Business Expansion,2776309.85,47153.53,0.017,0.1,23,600,0.422,44376.83,0,1,5.29,0.774,0.0,BBB,0.9622,1,2025-10-17
APP-000075,Sanchez-Simon,Technology,Debt Consolidation,138978.36,63633.0,0.4579,8.3,42,717,0.2796,1531.14,3,1,5.49,0.6758,0.0,AA,0.4854,0,2025-06-29
APP-000076,Jones-Ramos,Retail,Debt Consolidation,714226.15,111379.51,0.1559,4.1,126,850,0.0784,9483.7,1,1,101.84,0.7914,593.96,AAA,0.3595,0,2025-12-17
APP-000077,Russell-Rogers,Technology,Business Expansion,12678289.85,20600.12,0.0016,5.2,21,725,0.6415,67113.07,1,2,9.3,0.4731,0.0,BBB,0.7909,1,2025-04-11
APP-000078,Leblanc PLC,Technology,Working Capital,1776215.97,67104.61,0.0378,17.7,4,659,0.4573,23263.33,0,1,37.69,0.3433,0.0,A,0.635,0,2026-03-05
APP-000079,"Miller, Ford and Black",Technology,Equipment Purchase,49780.29,83953.15,1.6865,6.4,24,777,0.3651,856.24,1,0,17.25,0.2842,0.0,AA,0.3642,1,2026-03-03
APP-000080,"Lopez, Kelly and Johnson",Agriculture,Working Capital,526692.84,2519319.23,4.7833,11.5,29,612,0.0571,9668.54,0,1,20.05,0.6722,0.0,BBB,0.9599,1,2025-11-17
APP-000081,"Kelley, Murphy and Pearson",Transportation,Working Capital,755235.29,35258.99,0.0467,9.6,20,626,0.5651,11214.89,1,2,19.9,0.5244,0.0,BBB,0.9332,1,2025-07-06
APP-000082,Fisher-Baker,Finance,Research & Development,2831.5,132526.66,46.8044,8.3,1,650,0.1252,35.68,1,1,10.52,0.5337,0.0,A,0.9267,1,2025-06-20
APP-000083,Mcfarland-Hall,Media,Real Estate,111598.9,38036.27,0.3408,7.7,20,634,0.2558,2318.83,2,1,9.69,0.3983,1088.44,BBB,0.7721,1,2025-12-05
APP-000084,Walker Inc,Transportation,Real Estate,160457.47,1228.36,0.0077,2.1,73,776,0.2678,1035.24,1,0,9.06,0.2688,0.0,AAA,0.1741,0,2026-01-01
APP-000085,Shelton Ltd,Healthcare,Business Expansion,429072.12,56379.86,0.1314,10.9,15,689,0.2163,4475.85,1,4,111.24,0.5817,0.0,A,0.8863,1,2025-05-06
APP-000086,"Berg, Nguyen and Dickerson",Energy,Equipment Purchase,370761.65,622978.19,1.6803,12.6,3,792,0.3185,6101.71,2,0,21.38,0.6014,36.96,AA,0.4348,1,2025-09-04
APP-000087,"Boyer, Potter and Stark",Energy,Real Estate,29904.0,31129.77,1.041,3.1,118,776,0.2025,256.7,0,0,41.22,0.7775,733.15,AAA,0.3667,0,2026-03-12
APP-000088,"Williams, Johnson and Small",Healthcare,Business Expansion,36127.95,1540324.27,42.6353,5.5,178,702,0.1138,600.97,2,0,121.42,0.7497,232.74,AA,0.7421,1,2025-09-14
APP-000089,Kelly Inc,Real Estate,Business Expansion,27028819.94,235508.04,0.0087,2.5,15,662,0.3643,452751.62,3,1,26.64,0.4815,0.0,A,0.6412,0,2025-12-02
APP-000090,"Burns, Johnson and Bruce",Retail,Working Capital,983994.81,177268.43,0.1802,4.7,28,637,0.3042,8979.75,3,1,270.88,0.4231,141.63,BBB,0.6906,0,2025-07-08
APP-000091,"Moore, Harrington and Carter",Transportation,Working Capital,5815079.11,116646.59,0.0201,5.9,30,700,0.1463,24736.34,1,1,86.04,0.7707,0.0,AA,0.3751,1,2025-09-04
APP-000092,"Hensley, Kim and Leonard",Finance,Equipment Purchase,178370.99,242531.35,1.3597,3.9,250,614,0.0303,752.78,1,1,9.48,0.5117,0.0,BBB,0.7661,1,2025-08-15
APP-000093,Goodwin LLC,Retail,Business Expansion,569718.72,145625.05,0.2556,4.6,19,828,0.4306,3105.52,0,0,74.62,0.6494,0.0,AA,0.3784,0,2025-08-25
APP-000094,"Miller, Gray and Duffy",Agriculture,Business Expansion,1724.81,49880.17,28.9192,12.0,26,645,0.1455,19.3,2,0,35.76,0.6879,0.0,BBB,0.8919,1,2026-03-14
APP-000095,"Powell, Hickman and Wright",Agriculture,Business Expansion,36073.13,4218.95,0.117,9.7,94,567,0.1017,656.49,0,1,16.53,0.4381,42.02,BB,0.8223,1,2026-02-20
APP-000096,Scott Ltd,Retail,Working Capital,1418.61,94154.08,66.3705,7.2,34,752,0.5054,7.54,0,0,22.68,0.2832,1183.59,A,0.8819,1,2025-09-12
APP-000097,Lloyd PLC,Transportation,Real Estate,2750158.91,58628.18,0.0213,4.0,1,799,0.2702,27379.82,1,2,48.62,0.7558,271.32,AAA,0.6639,1,2025-12-20
APP-000098,Turner PLC,Energy,Business Expansion,2166296.01,100897.37,0.0466,1.7,6,703,0.0863,39737.67,2,2,8.93,0.5955,0.0,AA,0.5161,1,2026-01-14
APP-000099,Nguyen Inc,Energy,Business Expansion,51829.87,12688.37,0.2448,0.0,20,714,0.2451,912.55,1,1,9.7,0.281,200.4,AA,0.5198,0,2025-09-21
APP-000100,"Phillips, Smith and Bond",Manufacturing,Real Estate,24532.25,53276.16,2.1717,8.5,4,651,0.261,370.76,4,1,19.98,0.655,0.0,A,0.8443,1,2025-11-13
APP-000101,"Nielsen, Johnston and Sawyer",Energy,Research & Development,180837.88,160258.16,0.8862,14.4,12,685,0.2982,1308.74,2,0,13.41,0.5307,1070.3,A,0.4921,0,2025-06-28
APP-000102,Castillo and Sons,Transportation,Working Capital,1254930.29,113829.92,0.0907,8.0,3,701,0.3711,5492.57,2,1,15.56,0.612,976.59,AA,0.4847,0,2026-01-01
APP-000103,Flores Inc,Manufacturing,Working Capital,16448622.9,24059.06,0.0015,9.8,9,655,0.1247,116171.58,2,0,54.2,0.1994,0.0,A,0.2019,0,2026-03-10
APP-000104,Morgan-Taylor,Media,Research & Development,2037394.21,57740.07,0.0283,14.3,35,558,0.4072,19528.56,1,0,9.12,0.699,907.13,BB,0.8965,1,2025-07-05
APP-000105,"Martin, Forbes and Johnston",Technology,Research & Development,6932508.94,78383.81,0.0113,13.1,59,525,0.2382,105719.02,2,1,39.15,0.4129,0.0,B,0.9357,1,2025-10-30
APP-000106,"Robinson, Parker and Reed",Technology,Business Expansion,5736.82,112704.73,19.6458,12.2,43,637,0.2697,95.99,1,2,15.49,0.6806,1030.82,BBB,0.9913,1,2025-06-13
APP-000107,Cardenas-Roberts,Transportation,Debt Consolidation,922252.78,38391.79,0.0416,17.2,4,662,0.43,15266.25,0,3,6.9,0.7246,41.13,A,0.93,1,2025-07-11
APP-000108,"Edwards, Stevenson and George",Finance,Business Expansion,508949.63,156826.57,0.3081,13.8,26,605,0.2747,6509.86,1,0,54.66,0.6417,0.0,BBB,0.7062,0,2025-07-22
APP-000109,Ramos Group,Healthcare,Working Capital,29811500.58,5415.67,0.0002,2.4,13,777,0.5135,448277.65,3,1,1.82,0.2781,0.0,A,0.4908,1,2026-03-04
APP-000110,Rosales-Nelson,Media,Business Expansion,284819.45,6725.58,0.0236,0.0,102,716,0.0975,3902.26,1,1,11.27,0.161,0.0,AA,0.342,1,2025-04-28
APP-000111,Hart-Wood,Retail,Real Estate,544208.8,6182.19,0.0114,0.0,69,678,0.5133,8743.92,1,3,16.75,0.5455,148.94,A,0.961,1,2026-02-06
APP-000112,"Miller, Sparks and Stout",Media,Working Capital,11122061.95,37785.41,0.0034,12.5,16,658,0.2023,61204.71,3,0,21.69,0.5156,505.43,A,0.3234,0,2025-06-16
APP-000113,Taylor Inc,Media,Business Expansion,2976543.45,19590.96,0.0066,9.4,19,631,0.3124,27038.96,2,0,16.31,0.491,0.0,BBB,0.5275,0,2025-05-26
APP-000114,"Hicks, Robertson and Williams",Healthcare,Real Estate,3075304.26,11592.58,0.0038,10.1,162,628,0.6398,54967.08,3,1,15.64,0.5208,0.0,BBB,0.8799,1,2025-05-07
APP-000115,"Stevens, Franklin and Wagner",Media,Debt Consolidation,49914.52,31406.34,0.6292,5.9,143,591,0.3279,491.33,0,0,81.1,0.3179,0.0,BB,0.7387,1,2025-07-15
APP-000116,Forbes-Romero,Real Estate,Equipment Purchase,37470.24,10721.46,0.2861,5.0,45,677,0.3103,396.06,0,0,20.21,0.3716,11.81,A,0.308,0,2025-12-25
APP-000117,Lindsey Ltd,Real Estate,Working Capital,11997.3,104241.26,8.6887,6.2,1,672,0.2048,118.05,1,1,4.54,0.6333,0.0,A,0.9245,1,2025-11-24
APP-000118,"Davis, Santiago and Stevenson",Energy,Working Capital,52743.51,183848.14,3.4857,3.6,15,579,0.333,770.26,1,3,6.63,0.5345,251.38,BB,0.9959,1,2025-04-30
APP-000119,Snyder PLC,Manufacturing,Real Estate,87634620.94,91142.74,0.001,0.5,51,700,0.374,1743990.44,0,2,13.88,0.7045,0.0,AA,0.8556,1,2025-10-29
APP-000120,Olsen-Terry,Healthcare,Business Expansion,72296.82,39951.53,0.5526,4.7,18,632,0.2371,1298.35,3,0,26.72,0.6978,0.0,BBB,0.6225,0,2025-08-17
APP-000121,Herrera PLC,Media,Debt Consolidation,337557.57,33430.45,0.099,13.0,83,850,0.2941,2162.82,1,1,60.41,0.2475,0.0,AAA,0.2976,1,2026-02-16
APP-000122,"Rich, Walton and Jackson",Healthcare,Debt Consolidation,151565.53,185616.31,1.2247,12.3,48,721,0.2952,2181.54,0,1,31.49,0.3853,0.0,AA,0.4791,1,2025-12-20
APP-000123,Grimes-Fletcher,Agriculture,Equipment Purchase,90686.17,60151.77,0.6633,6.5,1,528,0.186,729.09,2,0,9.37,0.7343,0.0,B,0.9247,1,2026-01-31
APP-000124,"Alvarez, Fritz and Brown",Real Estate,Business Expansion,1576686.51,98968.38,0.0628,1.8,1,684,0.4018,21964.95,1,1,24.14,0.5998,0.0,A,0.6304,0,2025-12-04
APP-000125,"Miller, Patrick and Austin",Real Estate,Equipment Purchase,3687354.48,57404.28,0.0156,21.8,9,711,0.3882,61372.65,1,1,23.39,0.2933,0.0,AA,0.3625,1,2026-01-18
APP-000126,Harris-Mcgee,Transportation,Debt Consolidation,2304090.38,28787.73,0.0125,3.7,29,627,0.1688,26259.62,3,1,24.38,0.3714,0.0,BBB,0.6145,0,2025-04-13
APP-000127,Guerrero-Walters,Manufacturing,Debt Consolidation,3050435.63,39064.74,0.0128,14.2,16,687,0.2742,61354.42,1,1,12.8,0.3581,0.0,A,0.3685,1,2025-05-09
APP-000128,Martinez Ltd,Agriculture,Business Expansion,178707.06,1405226.61,7.8633,15.3,54,706,0.3478,2554.77,1,2,6.88,0.5514,0.0,AA,0.9527,1,2025-05-02
APP-000129,"Wilkerson, Fernandez and George",Agriculture,Equipment Purchase,649907.91,13315.96,0.0205,7.3,2,609,0.0824,2917.3,0,0,6.46,0.445,0.0,BBB,0.4536,0,2025-05-04
APP-000130,"Smith, Williams and Gonzalez",Healthcare,Working Capital,378986.26,318533.38,0.8405,8.1,24,723,0.3873,7744.04,0,0,94.4,0.6391,0.0,AA,0.402,1,2025-11-24
APP-000131,Bates LLC,Healthcare,Business Expansion,3146203.04,64623.38,0.0205,4.3,54,507,0.2863,37124.97,1,0,39.53,0.2598,330.9,B,0.9034,1,2025-06-29
APP-000132,Stuart and Sons,Finance,Equipment Purchase,110184.63,23752.85,0.2156,7.8,33,722,0.4155,1893.93,1,2,7.43,0.5719,211.71,AA,0.7061,0,2025-11-15
APP-000133,"Sanders, Smith and Martinez",Media,Working Capital,261461.52,1375472.8,5.2607,0.0,21,706,0.4575,2143.52,2,0,36.04,0.6649,0.0,A,0.9463,1,2025-10-15
APP-000134,Ray-Williams,Retail,Research & Development,143286.25,144759.63,1.0103,7.6,21,663,0.1221,1216.84,2,2,27.99,0.6548,0.0,A,0.7789,0,2025-05-19
APP-000135,"Pham, Drake and Marquez",Manufacturing,Debt Consolidation,466662.75,8604.93,0.0184,10.9,28,673,0.0754,7945.92,1,0,6.03,0.3499,0.0,A,0.1606,0,2025-08-01
APP-000136,"Rodriguez, Hayden and Anderson",Manufacturing,Business Expansion,36285.9,16165.03,0.4455,11.0,468,750,0.2092,222.86,1,2,15.69,0.6327,0.0,AAA,0.6094,1,2026-02-20
APP-000137,"Hopkins, Andrews and Benson",Energy,Equipment Purchase,725795.69,196013.42,0.2701,8.8,158,688,0.4327,5932.16,0,1,5.78,0.4542,19.85,A,0.5527,1,2026-03-17
APP-000138,Schroeder Ltd,Technology,Equipment Purchase,678613.98,70019.84,0.1032,7.1,64,556,0.3876,13532.2,3,1,15.02,0.5138,201.41,BB,0.9391,1,2026-02-01
APP-000139,White Ltd,Manufacturing,Working Capital,2420.12,181840.7,75.1371,9.0,1,714,0.2356,27.24,0,0,27.65,0.6359,269.41,AA,0.7714,1,2025-08-25
APP-000140,Robinson-Rush,Agriculture,Research & Development,102433.92,10687.27,0.1043,2.9,13,597,0.122,943.98,2,0,62.4,0.3597,0.0,BB,0.5476,0,2025-09-02
APP-000141,Thomas PLC,Agriculture,Business Expansion,8198516.24,131107.27,0.016,0.0,47,632,0.3903,39957.15,1,0,22.32,0.6001,0.0,BBB,0.8083,1,2026-02-10
APP-000142,"Mccarthy, Camacho and Lucas",Healthcare,Research & Development,23946553.79,266545.09,0.0111,23.5,28,728,0.1627,390720.38,2,0,33.04,0.3417,0.0,AA,0.1221,0,2026-01-22
